peroration,结尾演说；总结陈词
tumult,骚动；喧嚣
strike,罢工；打击；发现（矿藏）
serrate,锯齿状的
venal,贪赃枉法的；唯利是图的
morose,忧郁的；阴沉的
potentate,统治者；权贵
worship,崇拜；礼拜
wardrobe,衣柜；（个人的）全部衣物
venom,毒液；恶意
partial,部分的；偏袒的
redolent,芬芳的；让人联想起…的
paltry,微不足道的；琐碎的
twig,细枝；理解（领会）
unlettered,文盲的；未受过教育的
ratify,批准；认可
pejorative,贬义的；轻蔑的
jocular,爱开玩笑的；诙谐的
manifest,显然的；显示；表明
zeal,热情；热忱
referee,裁判；仲裁人；推荐人
tambourine,铃鼓；手鼓
stonewall,拖延阻挠；拒不配合
parable,寓言
rejoice,欣喜；欢欣鼓舞
zenith,顶点；巅峰
suspend,暂停；悬挂；停学
pungent,辛辣的；尖刻的
tornado,龙卷风；旋风
obliging,乐于助人的；热心相助的
rant,咆哮；大声抱怨；夸夸其谈
mean,吝啬的；卑鄙的
vacillate,犹豫；摇摆不定
trespass,擅自闯入；侵犯
measly,微不足道的
vault,拱顶；金库；跳跃
minute,极小的；详细的；分钟
squint,眯着眼看；斜视
quail,畏缩；鹌鹑
maladroit,笨拙的；不老练的
lien,留置权；留置
symmetry,对称；匀称
venial,轻微可原谅的
retainer,家仆；预付定金
truss,支架；桁架；捆绑
vim,活力；精力
serene,安详的；宁静的
repulse,击退；使厌恶；拒绝
jingoist,沙文主义者；好战分子
retrospective,回顾的；追溯的
ornithology,鸟类学
malign,诽谤；中伤；有害的
randomize,随机化；打乱次序
subjugate,征服；压制
overt,公开的；明显的
laconic,简洁的；言简意赅的
labored,吃力的；勉强的；不自然的
tardy,迟到的；迟缓的
quell,平息；镇压
pathology,病理学；病变
remiss,玩忽职守的；疏忽的
stymie,妨碍；阻挠
serpentine,蜿蜒的；阴险曲折的
veritable,名副其实的；真正的
quarry,采石场；猎物
peeve,使恼怒；烦心事
sloppy,马虎的；凌乱的；泥泞的
linoleum,油毡
retribution,报应；惩罚
punctilious,一丝不苟的；谨小慎微的
vertigo,眩晕
mutter,嘟囔；低声抱怨
ravish,使陶醉；强暴
ossify,骨化；僵化
kindle,点燃；激发
prodigal,挥霍的；浪费的；浪子
recluse,隐士；遁世者
salutation,致意；问候语
servile,奴性的；卑躬屈膝的
voracious,贪吃的；如饥似渴的
reprobate,堕落之徒；堕落的
suppress,镇压；抑制；查禁
lofty,高耸的；高尚的；高傲的
trepidation,惶恐；不安
rakish,放荡不羁的；潇洒不羁的
spat,口角；小争吵；溅射声
repine,发牢骚；不满
murky,昏暗的；浑浊的；含糊的
rostrum,讲台；演讲坛
quash,宣告无效；镇压
voluminous,庞大的；长篇的；（衣物）宽松的
martinet,严格执行纪律的人
obdurate,顽固不化的；冷酷的
volition,意志；自主选择
vilify,诽谤；中伤
purlieu,附近；常去之地；边缘地带
seamy,肮脏的；阴暗面
lode,矿脉；丰富来源
seminary,神学院；神职学校
vessel,容器；船只；血管
stultify,使显得愚蠢；使无效
taciturn,寡言少语的
solitude,孤独；独处
pulverize,粉碎；彻底击败
stockade,栅栏；围栏
pry,撬开；打听窥探
revelry,狂欢；欢宴
ubiquitous,无所不在的；普遍存在的
meander,蜿蜒；闲谈漫步
salubrious,有益健康的
roster,名单；值勤表
nonentity,无足轻重的人；不存在的事物
waft,飘荡；飘送
yokel,乡巴佬；土包子
scour,擦洗；搜寻
rile,激怒；搅浑
sequester,扣押；隔离
windbag,话多而空洞的人
nadir,最低点；谷底
soothe,安抚；减轻（疼痛）
tortuous,曲折的；冗长复杂的
voluble,健谈的；口若悬河的
palatable,可口的；合意的
speck,斑点；少量
sip,小口喝；一小口
tiff,小争吵
sloth,树懒；懒惰
yoke,轭；束缚；结合
sling,投掷；悬挂；吊索
torpid,迟钝的；不活跃的
lethal,致命的
revive,复苏；使恢复
neophyte,新手；新入教者
rend,撕裂；使分离
scale,鳞；规模；攀登；刻度
throng,人群；挤满
stock,库存；牲畜；陈腐的
racy,活泼生动的；下流的（文风）
jarring,刺耳不和谐的；令人不快的
rescind,撤销；废除
refulgent,辉煌灿烂的
recuperate,恢复；康复；挽回
protract,拖长；延长
mercenary,唯利是图的；雇佣兵
portentous,不祥的；装腔作势的；意味深长的
panoramic,全景的；全面的
untenable,站不住脚的
smattering,少量；略知
ribald,粗俗下流的
knack,本领；窍门
puissance,权势；威力
urbane,彬彬有礼的；温文尔雅的
plodding,缓慢沉闷的；辛勤工作的
palatial,宫殿般的；富丽堂皇的
supplant,取代；替代
vapid,乏味的；无趣的
paunchy,大腹便便的
potboiler,为糊口而粗制滥造的作品
monotonous,单调的；乏味的
squander,浪费；挥霍
precipitate,使突然发生；仓促的；沉淀物
rue,懊悔；后悔
soak,浸泡；吸收
nucleate,成核；使成核
svelte,苗条的；优雅的
vicious,邪恶的；凶残的；恶性的
mercurial,多变反复无常的；含汞的
retaliate,报复；反击
saturate,使饱和；浸透
preen,整理（羽毛/仪容）；得意洋洋
skirt,裙子；避开
sentinel,哨兵；守卫
restrain,抑制；阻止
requite,报答；报复
palter,含糊其词；敷衍搪塞
sly,狡猾的；偷偷摸摸的
patrician,贵族的；贵族
stigma,污名；耻辱；柱头（植）
substantiate,证实；使具体化
watershed,分水岭；转折点
prosperous,繁荣的；兴旺的
prolix,冗长乏味的
sap,树液；削弱（活力）
jeopardy,危险；受损风险
petty,琐碎的；气量小的
ungainly,笨拙的；不雅的
pedagogue,教师（多含贬义：卖弄学问者）
studio,工作室；演播室
profligate,挥霍的；放荡的；挥霍者
malaise,不适；心神不宁；低迷
jubilant,欢欣鼓舞的
toy,玩弄；漫不经心地考虑
torrid,酷热的；激情四射的
theatrical,戏剧化的；夸张做作的
vigorous,精力旺盛的；有力的
rancor,怨恨；深仇
reproach,责备；耻辱
scads,大量；许多
vitriolic,刻薄的；尖刻的
rustle,沙沙作响；急忙移动；（偷）牛
ridicule,嘲笑；奚落
redistribution,重新分配
veto,否决（权）
mongrel,杂种的；混血的；杂种动物
mumble,咕哝；嘟囔
reptile,爬行动物；卑鄙小人
terminology,术语学；术语
stowaway,偷渡者；藏匿在运输工具中的人
taint,污染；玷污
synchronous,同步的；同时发生的
supine,仰卧的；消极的
reticent,沉默寡言的；守口如瓶的
profane,亵渎的；世俗的；亵渎
swill,牛洗；痛饮；泔水
seraph,六翼天使；炽天使
synonymous,同义的；等同的
persevere,坚持不懈
unimpeachable,无可指摘的；无懈可击的
relent,变温和；减弱；心软
stature,身高；声望地位
precipice,悬崖；险境
serendipity,机缘巧合；意外收获
plangent,哀婉的；轰响的
precedent,先例；在先的
stray,走失的；零星的；走神；流浪动物
temporize,拖延时间；见风使舵
lustrous,有光泽的；光彩照人的
travail,艰苦劳动；阵痛
preoccupation,全神贯注；当务之急；成见
lank,细长瘦弱的；（头发）直而软的
slant,倾斜；偏见；有倾向地报道
malcontent,不满者；不满的
mural,壁画
spoof,恶搞；戏仿
thorny,多刺的；棘手的
turbulent,动荡的；湍急的
swagger,大摇大摆地走；狂妄自大
kindred,同类的；同族的；亲属
sacrilege,亵渎（神圣）
utter,完全的；说出
plump,丰满的；突然（坐下）；使鼓起
lament,哀悼；悲叹
pusillanimous,懦弱的；怯懦的
sporadic,零星的；偶发的
thwart,阻挠；挫败
loathe,厌恶；憎恨
wrangler,争吵者；牧牛工
propensity,倾向；癖好
scan,扫描；粗略地看；仔细审视
raspy,刺耳的；粗糙的
punch,一拳；冲床；潘趣酒；打孔
splint,夹板；副木
prevaricate,搪塞；闪烁其词
palpable,明显的；可触知的
obliterate,抹去；消灭
reactionary,反动的；保守的；反动派
propagate,繁殖；传播；宣扬
valid,有效的；有根据的
tirade,长篇抨击性演说；激烈的指责
remunerate,支付报酬；补偿
list,清单；列出；倾斜
pseudonym,笔名；假名
stodgy,乏味呆板的；（食物）易饱滞重的
repel,击退；使厌恶；排斥
lenient,仁慈的；宽容的
subordinate,次要的；下属
paucity,缺乏；不足
repute,名声；认为
rupture,破裂；决裂；使破裂
mollify,缓和；安抚
untold,数不清的；极大的
testimony,证词；证据
sedentary,久坐的；定居的
pall,使乏味；覆盖物；棺罩
monocle,单片眼镜
lavish,奢华的；慷慨的；挥霍
ranger,护林员；突击队员；漫游者
wheedle,甜言蜜语地哄骗
pellucid,清澈的；明晰易懂的
spurn,拒绝；唾弃
reportage,报道；报道文学
smuggle,走私；偷运
sprain,扭伤
mendacious,撒谎的；虚假的
smother,使窒息；完全覆盖；把（感情）压在心里
usurp,篡夺；夺取
trenchant,犀利的；尖刻的
savant,学者；专家
obstreperous,吵闹的；桀骜不驯的
molar,臼齿；摩尔的（化学）
subside,平息；下沉；减弱
timid,胆小的；羞怯的
minaret,尖塔
trivial,琐碎的；不重要的
savvy,精明的；见多识广的；知道
purloin,偷窃；盗取
vicarious,间接感受到的；替代的
vitiate,损害；使无效
summit,顶峰；峰会
absorbed,专注的；全神贯注的
redundant,冗余的；多余的；被裁的
untoward,不利的；不幸的；不适当的
pediatrics,儿科学
prophetic,预言的；先见之明的
marsupial,有袋类动物
veteran,老兵；资深人士；经验丰富的
swerve,突然转向；偏离
paroxysm,突发；（疾病）发作
seascape,海景（画）
melodrama,情节剧；狗血剧
manumit,解放（奴隶）
presage,预示；预兆
slack,松弛的；懈怠的；萧条的
resin,树脂
sop,小安慰；贿赂；浸泡
sanctimonious,假装虔诚的；伪善的
tangible,有形的；可感知的；确凿的
vanquish,征服；战胜
ruse,诡计；计策
somber,昏暗的；忧郁的
ominous,不祥的；预示不好的
mirth,欢笑；欢快
repose,休憩；安宁；搁置
peruse,细读；精读
proficient,精通的；熟练的
wither,枯萎；衰退；使畏缩
rapscallion,流氓；无赖
specific,明确的；具体的；特性
lint,绒毛；敷料纱布
naysay,反对；否认
reluctant,不情愿的；勉强的
mellifluous,甜美流畅的
pernicious,有害的；恶性的
relinquish,放弃；交出
obsequious,谄媚的；奉承的
nitpick,吹毛求疵
teeter,摇摇欲坠；踉跄
knead,揉捏；按摩
privation,匮乏；贫困
ken,视野范围；认识理解
lug,吃力搬运；拖拽
tact,圆滑；机智；老练
penitent,忏悔的；悔罪者
theology,神学
visionary,有远见的；幻想的；空想家
obedient,顺从的；听话的
stolid,迟钝的；冷漠的
superficial,表面的；肤浅的
oath,誓言；誓约；咒骂语
prepossessing,迷人的；讨人喜欢的
spectrum,光谱；范围
rage,狂怒；风靡一时
reciprocate,回报；往复运动
testator,立遗嘱人
marsh,沼泽
scission,切断；分裂
tempestuous,狂暴的；剧烈的
prude,过分正经的人；拘谨的人
tantrum,发脾气；耍性子
occult,神秘的；难以理解的；隐匿的
prairie,大草原
propitiate,安抚；取悦
transfigure,使变形；使美化
quixotic,堂吉诃德式的；不切实际的
provisional,临时的；暂定的
macabre,可怕的；阴森的
pregnant,怀孕的；意味深长的；（含义）丰富的
tonsorial,理发的；理发师的
pinpoint,极精确的；精确定位
respite,暂缓；喘息；暂时休息
spoke,车轮辐条
uncanny,离奇的；异乎寻常的
spleen,脾脏；怨气
lush,茂密的；豪华的；（人）酗酒的
judicious,明智的；审慎的
wickedness,邪恶；恶行
prolong,延长；拖长
signal,显著的；非凡的；信号
taxing,繁重费力的
rave,热烈赞扬；胡言乱语；狂欢派对
squelch,压制；嘎吱声；止住
vicissitude,盛衰更替；变迁
persiflage,打趣；戏谑
resurgence,复苏；复兴
submerge,淹没；掩盖
scathing,尖刻的；严厉批评的
peremptory,不容置辩的；专横的
reconstitute,重新组建；复原（脱水食品）
periodical,期刊；周期性的
myopic,近视的；目光短浅的
shrug,耸肩；不屑
scrawl,潦草地写；乱涂
sand,沙子；磨砂
rafter,椽子；横梁；（成群）排列
pliable,柔韧的；易受影响的
key,关键的；钥匙；（音乐）调
nautical,航海的；海员的
stifle,抑制；使窒息
pelf,不义之财
laminate,叠层；层压；使成薄片
summary,摘要；概括；即决的
slate,石板；候选名单；严厉批评
synergistic,协同的；增效的
topsoil,表土
refute,反驳；驳倒
musket,火枪；旧式步枪
slab,厚板；混凝土板
salient,显著的；突出的
waffle,含糊其辞；华夫饼
slumber,睡眠；安睡
tinge,淡色；给…染上少许颜色；些许…味道
scrutable,可理解的；可解读的
preclude,排除；阻止
truant,逃学者；逃学的；旷课
meteorology,气象学
metaphysics,形而上学；玄学
mulish,倔强的；顽固的
strand,股；缕；使搁浅
sprightly,活泼轻快的；生气勃勃的
tepid,温热的；不温不火的
